mission,scene_1,date_1,scene_2,date_2,year_1,year_2,pair_type,temporal_baseline_days,repeat_cycle_days,repeat_cycle_multiple,expected_cycle_days,cycle_difference_days,same_geometry_metadata,metadata_compared,metadata_mismatches,path_1,path_2,frame_1,frame_2,beam_1,beam_2,polarization_1,polarization_2,direction_1,direction_2
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,2023,2023,same_year,31.99,14,2,28,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",161,159,800,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,2023,2023,same_year,31.99,14,2,28,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",161,159,850,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02 18:49:03+00:00,2023,2024,cross_year,332.01,14,24,336,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",159,161,850,800,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15 18:49:02+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,339.99,14,24,336,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",161,159,800,850,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15 18:49:43+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,339.99,14,24,336,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",161,159,850,850,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,2023,2024,cross_year,374.01,14,27,378,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",159,161,850,800,WBS,WBS,HH,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,2023,2024,cross_year,374.01,14,27,378,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,159,161,850,850,WBS,WBS,HH,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,381.99,14,27,378,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",161,159,800,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,381.99,14,27,378,3.99,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,161,159,850,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,2023,2023,same_year,9.0,14,1,14,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,161,160,800,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,2023,2023,same_year,9.0,14,1,14,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",161,160,800,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,2023,2023,same_year,9.0,14,1,14,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,161,160,850,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,2023,2023,same_year,23.0,14,2,28,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",160,159,800,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,2023,2023,same_year,23.0,14,2,28,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",160,159,850,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2024,2024,same_year,23.0,14,2,28,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",161,160,800,800,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2502960800-230915-WBSR1.1__A,2023-09-15 18:49:02+00:00,2023,2023,same_year,33.0,14,2,28,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",160,161,800,800,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2502960800-230915-WBSR1.1__A,2023-09-15 18:49:02+00:00,2023,2023,same_year,33.0,14,2,28,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",160,161,850,800,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2502960850-230915-WBSR1.1__A,2023-09-15 18:49:43+00:00,2023,2023,same_year,33.0,14,2,28,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",160,161,850,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2024,2024,same_year,47.0,14,3,42,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",159,160,850,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2550570800-240802-WBDR1.1__A,2024-08-02 18:49:03+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2024,2024,same_year,65.0,14,5,70,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,161,160,800,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02 18:49:03+00:00,2023,2024,cross_year,355.0,14,25,350,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,160,161,800,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02 18:49:03+00:00,2023,2024,cross_year,355.0,14,25,350,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",160,161,850,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,373.0,14,27,378,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",160,159,800,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,373.0,14,27,378,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,160,159,850,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15 18:49:02+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2023,2024,cross_year,387.0,14,28,392,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",161,160,800,800,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,2023,2024,cross_year,397.0,14,28,392,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",160,161,800,800,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,2023,2024,cross_year,397.0,14,28,392,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",160,161,850,800,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,2023,2024,cross_year,397.0,14,28,392,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,beam_mode,polarization",160,161,850,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2023,2024,cross_year,397.0,14,28,392,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",159,160,850,800,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2023,2024,cross_year,429.0,14,31,434,5.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,161,160,800,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,2023,2023,same_year,8.99,14,1,14,5.01,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",161,160,850,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2024,2024,same_year,22.99,14,2,28,5.01,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",161,160,850,800,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2502960850-230915-WBSR1.1__A,2023-09-15 18:49:43+00:00,2023,2023,same_year,33.01,14,2,28,5.01,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",160,161,800,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15 18:49:43+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2023,2024,cross_year,386.99,14,28,392,5.01,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",161,160,850,800,WBS,WBD,HH,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,2023,2024,cross_year,397.01,14,28,392,5.01,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization",160,161,800,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2023,2024,cross_year,428.99,14,31,434,5.01,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame",161,160,850,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2504512750-230926-WBSR1.1__D,2023-09-26 06:51:01+00:00,2023,2023,same_year,20.51,14,1,14,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,flight_direction",159,54,850,2750,WBS,WBS,HH,HH,ASCENDING,DESCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2504512800-230926-WBSR1.1__D,2023-09-26 06:51:41+00:00,2023,2023,same_year,20.51,14,1,14,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,flight_direction",159,54,850,2800,WBS,WBS,HH,HH,ASCENDING,DESCENDING
ALOS-2,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24 06:51:01+00:00,2024,2024,same_year,34.51,14,2,28,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization,flight_direction",159,54,850,2750,WBD,WBS,HH;HV,HH,ASCENDING,DESCENDING
ALOS-2,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24 06:51:41+00:00,2024,2024,same_year,34.51,14,2,28,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization,flight_direction",159,54,850,2800,WBD,WBS,HH;HV,HH,ASCENDING,DESCENDING
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26 06:51:01+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,329.49,14,24,336,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization,flight_direction",54,159,2750,850,WBS,WBD,HH,HH;HV,DESCENDING,ASCENDING
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26 06:51:41+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20 18:35:49+00:00,2023,2024,cross_year,329.49,14,24,336,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization,flight_direction",54,159,2800,850,WBS,WBD,HH,HH;HV,DESCENDING,ASCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24 06:51:01+00:00,2023,2024,cross_year,384.51,14,27,378,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,flight_direction",159,54,850,2750,WBS,WBS,HH,HH,ASCENDING,DESCENDING
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05 18:35:48+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24 06:51:41+00:00,2023,2024,cross_year,384.51,14,27,378,6.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,flight_direction",159,54,850,2800,WBS,WBS,HH,HH,ASCENDING,DESCENDING
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,2023,2023,same_year,0.0,14,1,14,14.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,161,161,800,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13 18:42:05+00:00,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,2023,2023,same_year,0.0,14,1,14,14.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,160,160,800,850,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15 18:49:02+00:00,ALOS2502960850-230915-WBSR1.1__A,2023-09-15 18:49:43+00:00,2023,2023,same_year,0.0,14,1,14,14.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,161,161,800,850,WBS,WBS,HH,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26 06:51:01+00:00,ALOS2504512800-230926-WBSR1.1__D,2023-09-26 06:51:41+00:00,2023,2023,same_year,0.0,14,1,14,14.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,54,54,2750,2800,WBS,WBS,HH,HH,DESCENDING,DESCENDING
ALOS-2,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,2024,2024,same_year,0.0,14,1,14,14.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,161,161,800,850,WBS,WBS,HH,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2558332750-240924-WBSR1.1__D,2024-09-24 06:51:01+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24 06:51:41+00:00,2024,2024,same_year,0.0,14,1,14,14.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,54,54,2750,2800,WBS,WBS,HH,HH,DESCENDING,DESCENDING
